input,target
116.24,17.66730958234091
93.88,-27.456104498704203
94.72,41.493376361069764
89.27,44.57219860936084
108.65,26.764894254591823
76.98,37.428161476707956
117.45,-21.51781200791695
92.39,-0.12261561930932352
103.19,42.57340949728493
97.51,39.04977005355832
114.62,60.184677517656745
79.4,-23.38785249682446
96.78,16.316761085296747
96.16,65.699503469755
111.34,13.529115359366035
89.0,42.66211687727982
98.28,4.667265628842673
91.22,-6.033808561613387
100.42,-12.537488644471622
105.83,-23.010460351495787
88.99,40.715203877045695
111.45,-18.230705300299995
109.02,41.10371967370682
105.02,-17.11238130123195
109.01,54.923421248814
93.16,14.399266162260833
98.77,-9.41015764502134
90.64,64.15924401993327
97.32,12.594157282512317
105.3,-18.331079170420036
93.08,-2.236402187523808
96.03,44.50085840825515
93.13,10.236509434620757
91.55,-2.7162797066890203
93.29,14.893558626142084
99.87,4.186695328617027
88.83,81.7014297954878
102.34,42.67853115617518
116.6,6.185047198577437
107.42,39.548554856303916
98.08,-32.14914653162052
91.12,28.608715497334018
92.53,-2.961130423127309
116.92,2.4364046063738405
100.51,-3.809383063479686
93.63,-20.866411308128786
101.91,58.7409376248131
121.0,68.09386435406917
101.2,62.83699599492025
106.17,-11.74583450708976
103.0,23.541153258991635
96.48,39.98810852185504
88.57,7.717419402688883
96.51,34.665332260114994
97.91,17.608543489998347
105.87,19.815033860262734
108.39,54.68961055595844
109.31,62.964653081836005
102.86,48.30447141328773
108.85,50.13082666624282
92.46,-12.354816028127267
112.53,6.40969908277465
105.13,-14.124260864176971
97.02,28.901418134907566
104.89,-18.54563034491057
99.24,-5.423611455084156
111.32,-9.631768061095249
115.2,24.09676527075897
121.86,35.14094622302466
86.04,-21.450940534605518
85.56,-31.21808179131346
94.96,47.19223872275311
101.6,70.120472917691
108.76,83.92988530827935
103.16,58.39743642555838
79.78,-21.90823088782885
96.94,50.87920618966285
108.28,67.13219398344914
102.3,20.082656349988213
107.62,54.92329088584996
97.78,17.796547287198724
97.99,5.202606054479782
101.87,54.01453252747078
104.1,8.226386667680215
101.98,74.75418574709727
101.19,32.646805888102776
93.29,-7.946441373857915
103.78,16.839307069090083
101.22,43.521677327405015
111.29,-36.10072130759002
111.99,13.537423039773707
101.85,52.92849302064228
96.25,56.245320894505035
93.61,4.7999033948483705
104.23,1.0649647235975594
100.77,21.891340352401123
96.56,43.93398119309033
100.44,19.50939473720449
93.8,24.124563909680703
106.98,30.225260498555652
95.53,47.238828612283285
112.25,26.939663344649848
104.03,-9.861323638084803
105.94,-23.493454865404015
89.05,52.297029420952576
101.69,44.760729278104066
107.41,10.49697497820043
90.46,33.68546854087946
97.34,10.845242260371556
100.33,30.88174497112271
86.27,-19.58657778742535
103.15,50.98248952781024
108.46,57.314136754060165
91.4,8.07707905667511
103.51,25.256198817038268
86.88,-0.5354744204419042
99.61,-38.90366734068594
83.84,50.29105115550148
111.21,-14.674710667713757
104.09,34.60457304726392
99.75,-11.840934413648933
92.25,9.37831458852785
112.74,-28.388269138907745
119.67,40.92631949022339
81.42,16.25752103455291
112.36,-4.215695722744708
116.28,16.93766173907195
103.38,24.886262876373966
88.01,27.734398022819875
108.63,47.57879293948904
98.19,-28.712695628864825
93.96,8.553372738716934
87.7,45.54370987321795
105.51,-8.722131935267765
107.93,51.75767775820221
93.76,-0.8643009392150791
105.21,-7.873036217231004
88.56,39.77576297735154
108.02,44.57135659502958
100.47,31.091721712643057
98.13,-14.429915993503746
98.98,-12.444002601854326
108.69,56.67184245576328
107.5,35.30659145055919
105.29,-28.826824165063833
101.38,51.2646184522205
100.78,12.787302249674696
106.18,-4.781041626784183
102.32,37.356548864346934
106.83,18.82339798728312
96.9,27.897193590041564
75.65,20.47830214778311
110.39,17.37753389878738
121.87,64.94946082392283
104.41,-5.868109246644878
99.0,-2.635808442683789
98.64,-14.280062358844331
98.81,-8.676749047113358
100.17,26.148097537875024
88.78,42.9541157523047
94.83,24.5413357172116
90.03,35.89470319241755
102.49,38.98010547440188
97.03,30.52644328966808
104.95,3.6729772615821066
98.25,-23.506685201236152
109.86,7.355698384041249
102.14,36.60770412671474
121.91,11.28525416607864
81.04,21.641087629003973
93.53,-0.6102691998389951
109.01,73.243421248814
125.28,-12.78797019838999
97.51,35.73977005355832
100.44,6.709394737204491
97.74,3.4136336754434913
113.31,11.607485293021513
97.13,13.57245275670348
106.8,-0.29156737024426604
96.8,40.1930986406385
87.27,-19.232250529322506
103.14,31.856020393795074
