input,target
81.31,5.730674174343817
115.65,36.47183765405816
123.47,-5.031621382195327
104.02,10.504927553443949
106.9,22.97520304158844
107.73,44.51895486058075
86.49,-10.328972660312173
102.95,40.669811891882354
100.79,28.102512422987694
105.65,-8.742802960477626
92.36,-9.510491717003818
84.55,28.123505485827096
106.51,10.005783482287928
107.23,32.53100662670888
92.94,-10.551106285308508
88.72,40.150314185123484
97.67,10.332753983650441
113.92,42.29531021608652
101.38,42.91461845222051
94.51,28.59638327903072
92.65,-11.558897187602259
105.92,-2.7701560467806114
84.18,38.12781084832748
127.28,50.84843756083658
82.31,36.794172878338756
100.73,24.860568507939185
107.75,44.125653741021104
106.15,-0.029901267209136773
99.5,-7.892758064390378
85.48,4.212344120283564
90.48,37.06481281499741
95.9,51.32895020122511
95.93,49.35086213927355
105.3,-10.441079170420037
103.89,14.370143880470984
93.04,-7.472310555421934
92.71,-9.66337742807157
101.31,41.23909018630465
101.99,50.11971691498105
103.46,26.274298188937077
99.43,-6.755161115982941
97.24,24.818931102099633
87.44,6.2037119902984035
95.61,48.51896689592013
100.35,15.15064613191413
102.48,50.294152502125925
82.14,32.9718966086595
85.53,1.5285876470346305
106.68,15.810679399360868
100.15,10.94960044298714
100.99,32.3840402244086
110.63,1.018326126702744
93.66,4.107303520590197
95.31,45.719883974773055
105.61,-8.182815057705472
113.13,20.366089203862106
104.27,3.142841812185142
106.87,20.292532815782618
95.06,41.587398513632536
115.89,30.427668633817383
112.19,-4.319901761214081
113.85,39.86937000201227
89.61,50.1551493544411
76.31,45.513077308278774
112.31,-0.5484990237280365
104.65,-5.916635992502536
102.9,41.60805649927834
96.56,42.29398119309033
98.74,-10.703749658759902
83.46,48.97389183453493
106.22,3.0159532988348445
113.98,44.8892312536929
101.03,35.8266449539977
96.48,42.40810852185504
93.79,4.610298501945339
110.83,-3.545546840875994
99.79,0.3124952141856895
91.92,-1.080785251564979
101.31,42.729090186304646
110.44,5.530693664427723
85.35,4.100292622019509
88.88,45.76070235766906
97.45,19.44198658564428
102.8,43.19225651592045
108.88,44.9982711864984
111.02,-7.600077192861857
100.7,26.27105358416189
96.43,43.54435727974411
109.46,35.40839943738607
106.5,9.695243993150315
106.29,5.3754365369724715
100.12,8.3754303829477
99.54,-6.784928364073199
101.44,44.62179037517369
95.67,50.493977991262916
99.62,-5.337915326099507
100.21,10.157788465087386
101.96,50.94404508711466
83.3,50.50517057670472
78.11,33.68946756279508
94.19,20.128702357569495
102.54,48.72776347823249
116.72,4.966747001442576
103.37,27.727858566551582
88.41,33.49013302323544
114.52,51.295979992184364
104.64,-6.064835356696421
94.93,39.30079866642853
89.05,45.92702942095258
96.42,45.20818605824137
74.04,-7.793487284236921
87.35,1.8028731375068072
91.24,15.530871106793777
106.32,3.5143470938271135
93.74,4.979734598230668
94.18,17.754304473585904
97.34,22.535242260371557
108.47,49.069746623599336
101.75,48.48240357413484
104.83,-8.021252583333986
101.93,48.66120065670685
100.27,14.160606057972222
96.36,45.457757281599974
104.85,-8.920676818814332
100.63,24.075634918066186
119.91,36.425058685199794
97.59,13.921822220921998
97.98,3.0550829296972113
96.68,38.34640648013803
115.5,40.23162864614331
123.15,1.1132115969361738
113.66,35.49997478330365
106.03,-2.9098259920916254
104.63,-6.100523258283591
75.62,26.188864729942093
100.54,19.88556634711922
